id,directores
862,['John Lasseter']
8844,['Joe Johnston']
15602,['Howard Deutch']
31357,['Forest Whitaker']
11862,['Charles Shyer']
949,['Michael Mann']
11860,['Sydney Pollack']
45325,['Peter Hewitt']
9091,['Peter Hyams']
710,['Martin Campbell']
9087,['Rob Reiner']
12110,['Mel Brooks']
21032,['Simon Wells']
10858,['Oliver Stone']
1408,['Renny Harlin']
524,['Martin Scorsese']
4584,['Ang Lee']
5,"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']"
9273,['Steve Oedekerk']
11517,['Joseph Ruben']
8012,['Barry Sonnenfeld']
1710,['Jon Amiel']
9691,['Richard Donner']
12665,['Victor Salva']
451,['Mike Figgis']
16420,['Oliver Parker']
9263,['Lesli Linka Glatter']
17015,['Roger Michell']
902,"['Jean-Pierre Jeunet', 'Marc Caro']"
37557,['Zhang Yimou']
9909,['John N. Smith']
63,['Terry Gilliam']
78802,['Jean-Jacques Annaud']
9598,['Chris Noonan']
47018,['Christopher Hampton']
687,['Tim Robbins']
139405,['Stephen Low']
33689,['Andy Tennant']
9603,['Amy Heckerling']
34615,['Darrell James Roodt']
31174,['Richard Loncraine']
11443,"['Albert Hughes', 'Allen Hughes']"
35196,['Michael Hoffman']
9312,['Paul W.S. Anderson']
577,['Gus Van Sant']
11861,['Jocelyn Moorhouse']
807,['David Fincher']
10530,"['Mike Gabriel', 'Eric Goldberg']"
8391,['Patricia Rozema']
629,['Bryan Singer']
117164,Richard W. Munchkin
11448,['Woody Allen']
49133,['Gianni Amelio']
26441,['Holly Goldberg Sloan']
97406,['Ulu Grosbard']
124057,['Robert Tinnell']
9089,['Jodie Foster']
11010,['Michael Radford']
99040,['Robert Lepage']
11359,['Frank Oz']
17182,['John Schlesinger']
2054,['Stephen Herek']
10607,['Paris Barclay']
19760,['Bill Bennett']
9536,['Jason Bloom']
11525,['Farhad Mann']
40628,['James Foley']
4482,['Josiane Balasko']
10634,['F. Gary Gray']
755,['Robert Rodriguez']
11859,['Andrew Sipes']
28387,['Noah Baumbach']
48750,['Claude Lelouch']
20927,['Michael Goldenberg']
36929,['Steve Miner']
9102,['Christian Duguay']
124626,['Susanne Ofteringer']
27526,['Sean Penn']
9623,['Brian Gibson']
46785,['Jafar Panahi']
400,['Gary Fleder']
880,['Marleen Gorris']
146599,['Tim Reid']
188588,Henry Jaglom
8447,['Philip Haas']
10534,['Ridley Scott']
17414,['Ken Kwapis']
13997,['Penelope Spheeris']
2086,['John Badham']
61548,['John Duigan']
9095,['Stephen Frears']
12158,['Wes Craven']
9283,['Ted Demme']
9208,['John Woo']
40154,['Kenneth Branagh']
406,['Mathieu Kassovitz']
45549,['Paul W.S. Anderson']
63076,['Nick Broomfield']
11062,['Harold Becker']
13685,['Wes Anderson']
47475,Nick Castle
2045,['John Dahl']
9614,['Dennis Dugan']
688,['Clint Eastwood']
11907,['Doris Dörrie']
10874,['Brian Henson']
89333,['Robert Leacock']
96357,['James Bruce']
197,['Mel Gibson']
103,['Martin Scorsese']
33542,['Stanley Tong']
43566,['Barbet Schroeder']
71754,['Mort Ransen']
43612,['Étienne Chatiliez']
51352,Jon Blair
16934,['Benjamin Ross']
10324,['Eric Schaeffer']
78406,['Andrew Davis']
55731,['Charles T. Kanganis']
32119,John N. Smith
11066,['Reginald Hudlin']
11104,['Wong Kar-wai']
37975,['Giuseppe Tornatore']
2074,['David O. Russell']
27793,['Peter MacDonald']
44284,['Moufida Tlatli']
290157,['Michel Negroponte']
110972,['Bryan Gordon']
32622,['Rebecca Miller']
73067,['Michael Lindsay-Hogg']
11863,['William Friedkin']
55475,['Ángel Muñiz']
124636,['Craig Baldwin']
9101,['David S. Ward']
123360,['Mark Rappaport']
5757,['Dirk Shafer']
39428,['Terence Davies']
124639,Sandip Ray
9302,['Jon Avnet']
11000,['Mike Nichols']
249882,['Jakov Sedlar']
16388,['Edward Burns']
9737,['Michael Bay']
30765,['Christopher Cain']
10474,['Scott Kalvert']
22279,['Mike Newell']
30157,['Hal Hartley']
568,['Ron Howard']
11780,['Michael Caton-Jones']
34996,['Abel Ferrara']
414,['Joel Schumacher']
649,['Luis Buñuel']
1873,['John Boorman']
5894,"['Paul Auster', 'Wayne Wang']"
1775,['Michael Moore']
8839,['Brad Silberling']
20649,['Spike Lee']
10329,['Frank Marshall']
8963,['Tony Scott']
26564,['Terry Zwigoff']
8068,['Robert Rodriguez']
8512,['Carl Franklin']
1572,['John McTiernan']
13552,['Gregg Araki']
259209,['Christopher Menaul']
6520,['Jerry Zucker']
9073,['Dwight H. Little']
10428,['Iain Softley']
17447,['Christopher Ashley']
9886,['Robert Longo']
9482,['Danny Cannon']
19326,['John Fortenberry']
9344,['Larry Clark']
9071,['Tom DiCillo']
8973,['Clive Barker']
15730,['Denys Arcand']
47608,['Antonia Bird']
2293,['Kevin Smith']
9070,['Bryan Spicer']
68274,['David Anspaugh']
48787,['Anthony Waller']
34574,['Michael Almereyda']
1642,['Irwin Winkler']
11472,['Chris Columbus']
36196,['Daisy von Scherler Mayer']
11980,['Gregory Widen']
58372,['Norman René']
32646,['Todd Haynes']
10533,['Roland Joffé']
56088,sin_informacion
10802,['Paul Verhoeven']
10149,"['Wayne Wang', 'Paul Auster']"
18402,['Lasse Hallström']
9348,['Roger Donaldson']
139408,['James Keach']
281,['Kathryn Bigelow']
5967,['Jacques Demy']
79593,['Wesley Strick']
47939,['Martha Coolidge']
36834,['Agnieszka Holland']
9090,['Beeban Kidron']
3512,['Geoff Murphy']
52856,['Diane Keaton']
77350,Douglas Keeve
9560,['Alfonso Aráu']
9804,['Kevin Reynolds']
31611,['Desmond Nakano']
65796,['Walter Hill']
49805,['Mike Figgis']
26258,['Greg Beeman']
50797,['Nikita Mikhalkov']
19155,['Milčo Mančevski']
76,['Richard Linklater']
11017,['Tamra Davis']
37141,['Guy Ferland']
9382,['Herbert Ross']
6715,['Peter Horton']
18256,['Stuart Gordon']
22625,"[""Pat O'Connor""]"
2292,['Kevin Smith']
1909,['Jeremy Leven']
8984,['Barry Levinson']
61813,['René Bonnière']
4954,['John Badham']
62488,['Jack Baran']
10531,['Roman Polanski']
11929,['Taylor Hackford']
8467,"['Peter Farrelly', 'Bobby Farrelly']"
10451,['Ang Lee']
20156,['Atom Egoyan']
18395,['Garry Marshall']
522,['Tim Burton']
397,['Lawrence Kasdan']
10525,['Billy Crystal']
27985,['Phillip Borsos']
15789,"['Kevin Lima', 'Paul Brizzi']"
27303,['Brett Leonard']
21183,['Carlo Carlei']
10954,['Gérard Corbiau']
47867,Mark Lewis
43475,Art Clokey
72031,['Charles Burnett']
14275,['Steve James']
1024,['Peter Jackson']
17207,Randall Miller
13701,['Bernard Rose']
14819,['Steven Brill']
32631,['J. F. Lawton']
11777,['Fred Schepisi']
628,['Neil Jordan']
87729,['James Ivory']
18713,James Melkonian
6280,['Ivan Reitman']
9061,['Arne Glimcher']
37108,Michael Gottlieb
6071,['Barbet Schroeder']
11,['George Lucas']
9587,['Gillian Armstrong']
19101,['Alfonso Cuarón']
49980,['Ken Loach']
17961,['Claude Chabrol']
18183,['Alfonso Aráu']
4476,['Edward Zwick']
11008,['Nick Castle']
47504,['James Gray']
